GEOID,urban,FluVax_BlackRate,FluVax_NHWhiteRate,FluVax_WholeRate
19179,0,22.0,49.0,48
19181,1,45.0,63.0,63
19183,1,36.0,50.0,50
19185,0,,38.0,38
19187,0,31.0,49.0,48
19189,0,,59.0,59
19191,0,,63.0,63
19193,1,25.0,55.0,52
19195,0,,59.0,59
19197,0,,35.0,35
20001,0,36.0,42.0,43
20003,0,,31.0,31
20005,0,23.0,34.0,33
20007,0,,25.0,24
20009,0,37.0,31.0,31
20011,0,34.0,45.0,45
20013,0,17.0,28.0,28
20015,1,31.0,52.0,52
20017,0,,43.0,43
20019,0,,31.0,31
20021,0,,41.0,41
20023,0,,40.0,40
20025,0,,32.0,32
20027,0,,42.0,42
20029,0,,35.0,35
20031,0,,41.0,42
20033,0,,51.0,51
20035,0,38.0,51.0,51
20037,0,32.0,48.0,47
20039,0,,47.0,47
20041,0,21.0,29.0,29
20043,1,40.0,43.0,43
20045,1,48.0,64.0,63
20047,0,,20.0,20
20049,0,,37.0,36
20051,0,50.0,52.0,52
20053,0,,33.0,33
20055,0,26.0,53.0,49
20057,0,29.0,49.0,46
20059,1,29.0,45.0,44
20061,1,20.0,30.0,28
20063,0,,45.0,45
20065,0,26.0,44.0,43
20067,0,,47.0,44
20069,0,,46.0,45
20071,0,,7.0,7
20073,0,,47.0,46
20075,0,,38.0,36
20077,0,,33.0,32
20079,1,35.0,55.0,54
20081,0,,59.0,58
20083,0,,46.0,46
20085,1,,32.0,32
20087,1,44.0,57.0,57
20089,0,,36.0,36
20091,1,42.0,64.0,63
20093,0,,24.0,25
20095,0,,42.0,42
20097,0,,39.0,38
20099,0,26.0,41.0,41
20101,0,,12.0,12
20103,1,31.0,50.0,49
20105,0,,42.0,42
20107,1,,31.0,31
20109,0,,41.0,42
20111,0,37.0,57.0,55
20113,0,27.0,57.0,56
20115,0,,45.0,45
20117,0,,40.0,40
20119,0,,41.0,41
20121,1,30.0,42.0,42
20123,0,,52.0,52
20125,0,25.0,38.0,37
20127,0,,36.0,36
20129,0,,44.0,44
20131,0,,35.0,35
20133,0,41.0,44.0,44
20135,0,,40.0,40
20137,0,,39.0,39
20139,1,,54.0,53
20141,0,,33.0,33
20143,0,,47.0,47
20145,0,41.0,42.0,42
20147,0,,39.0,39
20149,1,,40.0,39
20151,0,,42.0,42
20153,0,,33.0,33
20155,0,22.0,28.0,28
20157,0,,49.0,49
20159,0,,20.0,20
20161,1,41.0,60.0,58
20163,0,,51.0,51
20165,0,,41.0,41
20167,0,,27.0,27
20169,0,37.0,53.0,52
20171,0,,33.0,33
20173,1,37.0,56.0,54
20175,0,33.0,41.0,38
20177,1,40.0,61.0,59
20179,0,,38.0,37
20181,0,,36.0,36
20183,0,,33.0,33
20185,0,27.0,35.0,35
20187,0,,25.0,24
20189,0,,47.0,46
20191,1,38.0,49.0,49
