Geographic Area Name,Rate_Unemployment_Whole,Rate_Unemployment_White,Rate_Unemployment_Black,Rate_Unemployment_AIndA,Rate_Unemployment_Asian,Unemployment Parity
"Adams, Colorado",0.04,0.037000000000000005,0.061,0.053,0.044000000000000004,-0.023999999999999994
"Alamosa, Colorado",0.092,0.092,0.0,0.055999999999999994,0.156,0.092
"Arapahoe, Colorado",0.040999999999999995,0.036000000000000004,0.063,0.08199999999999999,0.028999999999999998,-0.026999999999999996
"Archuleta, Colorado",0.051,0.05,0.042,0.034,0.0,0.008
"Baca, Colorado",0.021,0.016,0.0,0.0,,0.016
"Bent, Colorado",0.057999999999999996,0.057999999999999996,0.0,0.053,,0.057999999999999996
"Boulder, Colorado",0.042,0.040999999999999995,0.031,0.14,0.026000000000000002,0.009999999999999995
"Broomfield, Colorado",0.032,0.03,0.009000000000000001,0.0,0.027000000000000003,0.020999999999999998
"Chaffee, Colorado",0.034,0.035,0.0,,0.0,0.035
"Cheyenne, Colorado",0.07400000000000001,0.077,,,0.0,
"Clear Creek, Colorado",0.031,0.033,0.0,0.0,0.0,0.033
"Conejos, Colorado",0.105,0.085,,0.282,0.0,
"Costilla, Colorado",0.096,0.102,0.0,0.152,0.0,0.102
"Crowley, Colorado",0.14800000000000002,0.14800000000000002,,0.818,0.0,
"Custer, Colorado",0.057,0.049,,0.0,,
"Delta, Colorado",0.066,0.06,0.298,0.09699999999999999,0.0,-0.238
"Denver, Colorado",0.038,0.033,0.064,0.084,0.028999999999999998,-0.031
"Dolores, Colorado",0.039,0.021,,1.0,,
"Douglas, Colorado",0.028999999999999998,0.028999999999999998,0.03,0.042,0.032,-0.0010000000000000009
"Eagle, Colorado",0.019,0.019,0.0,0.0,0.0,0.019
"Elbert, Colorado",0.02,0.021,0.0,0.039,0.0,0.021
"El Paso, Colorado",0.057999999999999996,0.052000000000000005,0.105,0.122,0.044000000000000004,-0.05299999999999999
"Fremont, Colorado",0.055,0.055,0.16399999999999998,0.054000000000000006,0.0,-0.10899999999999999
"Garfield, Colorado",0.044000000000000004,0.040999999999999995,0.0,0.0,0.0,0.040999999999999995
"Gilpin, Colorado",0.015,0.017,0.0,0.0,,0.017
"Grand, Colorado",0.033,0.034,0.040999999999999995,0.0,0.0,-0.006999999999999992
"Gunnison, Colorado",0.051,0.052000000000000005,0.0,0.0,,0.052000000000000005
"Hinsdale, Colorado",0.047,0.036000000000000004,,0.0,,
"Huerfano, Colorado",0.031,0.035,,0.0,,
"Jackson, Colorado",0.017,0.016,,,,
"Jefferson, Colorado",0.036000000000000004,0.036000000000000004,0.078,0.03,0.033,-0.041999999999999996
"Kiowa, Colorado",0.027999999999999997,0.028999999999999998,,,,
"Kit Carson, Colorado",0.036000000000000004,0.038,0.0,0.0,0.0,0.038
"Lake, Colorado",0.040999999999999995,0.047,1.0,0.0,0.0,-0.953
"La Plata, Colorado",0.040999999999999995,0.035,0.019,0.055,0.07400000000000001,0.016000000000000004
"Larimer, Colorado",0.047,0.045,0.044000000000000004,0.086,0.038,0.000999999999999994
"Las Animas, Colorado",0.081,0.066,0.0,0.304,0.0,0.066
"Lincoln, Colorado",0.027000000000000003,0.025,0.667,0.2,0.0,-0.642
"Logan, Colorado",0.033,0.03,1.0,0.0,0.0,-0.97
"Mesa, Colorado",0.067,0.064,0.039,0.209,0.040999999999999995,0.025
"Mineral, Colorado",0.026000000000000002,0.028999999999999998,0.0,,,0.028999999999999998
"Moffat, Colorado",0.044000000000000004,0.031,0.0,0.0,0.0,0.031
"Montezuma, Colorado",0.051,0.049,0.091,0.022000000000000002,0.26899999999999996,-0.041999999999999996
"Montrose, Colorado",0.063,0.062,0.135,0.04,0.0,-0.07300000000000001
"Morgan, Colorado",0.040999999999999995,0.037000000000000005,0.062,0.0,0.0,-0.024999999999999994
"Otero, Colorado",0.073,0.07,0.0,0.0,0.5379999999999999,0.07
"Ouray, Colorado",0.038,0.039,,0.0,0.0,
"Park, Colorado",0.055,0.059000000000000004,0.0,0.0,0.0,0.059000000000000004
"Phillips, Colorado",0.013999999999999999,0.015,0.0,,0.0,0.015
"Pitkin, Colorado",0.03,0.031,0.0,0.0,0.0,0.031
"Prowers, Colorado",0.048,0.046,0.667,0.0,0.0,-0.621
"Pueblo, Colorado",0.075,0.065,0.11800000000000001,0.155,0.057999999999999996,-0.053000000000000005
"Rio Blanco, Colorado",0.059000000000000004,0.061,0.0,0.0,,0.061
"Rio Grande, Colorado",0.087,0.09,0.0,0.11,0.0,0.09
"Routt, Colorado",0.031,0.03,0.055999999999999994,0.0,0.086,-0.025999999999999995
"Saguache, Colorado",0.062,0.057999999999999996,0.0,0.083,,0.057999999999999996
"San Juan, Colorado",0.02,0.021,,,,
"San Miguel, Colorado",0.025,0.026000000000000002,,0.0,0.0,
"Sedgwick, Colorado",0.07,0.07400000000000001,0.0,0.0,0.0,0.07400000000000001
"Summit, Colorado",0.032,0.035,0.0,0.0,0.0,0.035
"Teller, Colorado",0.057999999999999996,0.053,0.0,0.0,0.0,0.053
"Washington, Colorado",0.024,0.024,0.13,,0.0,-0.10600000000000001
"Weld, Colorado",0.040999999999999995,0.039,0.039,0.055,0.033,0.0
"Yuma, Colorado",0.038,0.033,0.0,0.0,,0.033
"Fairfield, Connecticut",0.066,0.054000000000000006,0.109,0.127,0.066,-0.05499999999999999
"Hartford, Connecticut",0.057999999999999996,0.045,0.09699999999999999,0.12,0.040999999999999995,-0.05199999999999999
"Litchfield, Connecticut",0.05,0.048,0.09699999999999999,0.165,0.045,-0.04899999999999999
"Middlesex, Connecticut",0.046,0.044000000000000004,0.08199999999999999,0.149,0.049,-0.037999999999999985
"New Haven, Connecticut",0.064,0.054000000000000006,0.109,0.124,0.05,-0.05499999999999999
"New London, Connecticut",0.059000000000000004,0.051,0.11599999999999999,0.086,0.05,-0.065
"Tolland, Connecticut",0.049,0.045,0.081,0.0,0.048,-0.036000000000000004
"Windham, Connecticut",0.055,0.049,0.092,0.084,0.036000000000000004,-0.043
